id_policy,id_client,car_color,sum_assured,car_model,end_date_validity,current_payment,nomthly_payment,actual_date,user_id,user_email,user_age,complete_name,brand_name,country_name,velocity_max_amount,incident_id,policy_id,repair_amount,accident_count,rank,points,classification
003VDDA7J38244102019,003VDDA7J3Xb2ZFlNx7nIZ,rojo,824410.00,2019,2023-06-01T00:00:00.000-06:00,true,82441.00,2023-08-17T14:18:09.624-06:00,,,,,,,,A,003VDDA7J38244102019,398656.00,580,68,0,C
003VDDA7J38244102019,003VDDA7J3Xb2ZFlNx7nIZ,rojo,824410.00,2019,2023-06-01T00:00:00.000-06:00,true,82441.00,2023-08-17T14:18:09.624-06:00,,,,,,,,A,003VDDA7J38244102019,398656.00,580,68,0,C
006hfStQk97734152021,006hfStQk9L7MVT9RcDeva,naranja,773415.00,2021,2025-01-01T00:00:00.000-06:00,true,77341.50,2023-08-17T14:18:09.624-06:00,,,,,,,,A,006hfStQk97734152021,916747.00,576,77,0,C
006hfStQk97734152021,006hfStQk9L7MVT9RcDeva,naranja,773415.00,2021,2025-01-01T00:00:00.000-06:00,true,77341.50,2023-08-17T14:18:09.624-06:00,,,,,,,,A,006hfStQk97734152021,916747.00,576,77,0,C
00BVCwOFPM7784352021,00BVCwOFPMVboVah2vxgQj,gris,778435.00,2021,2025-05-01T00:00:00.000-06:00,true,77843.50,2023-08-17T14:18:09.624-06:00,,,,,,,,A,00BVCwOFPM7784352021,705859.00,578,75,0,C
00BVCwOFPM7784352021,00BVCwOFPMVboVah2vxgQj,gris,778435.00,2021,2025-05-01T00:00:00.000-06:00,true,77843.50,2023-08-17T14:18:09.624-06:00,,,,,,,,A,00BVCwOFPM7784352021,705859.00,578,75,0,C
00DTyvJWZx4616502019,00DTyvJWZxmyG6qLE9O57F,amarillo,461650.00,2019,2023-07-01T00:00:00.000-06:00,false,46165.00,2023-08-17T14:18:09.624-06:00,,,,,,,,A,00DTyvJWZx4616502019,870855.00,578,75,0,C
00DTyvJWZx4616502019,00DTyvJWZxmyG6qLE9O57F,amarillo,461650.00,2019,2023-07-01T00:00:00.000-06:00,false,46165.00,2023-08-17T14:18:09.624-06:00,,,,,,,,A,00DTyvJWZx4616502019,870855.00,578,75,0,C
00GOPLxW4P3711442016,00GOPLxW4PGQuUYdPJh8K1,morado,371144.00,2016,2025-05-01T00:00:00.000-06:00,true,37114.40,2023-08-17T14:18:09.624-06:00,,,,,,,,A,00GOPLxW4P3711442016,355496.00,602,31,0,C
00GOPLxW4P3711442016,00GOPLxW4PGQuUYdPJh8K1,morado,371144.00,2016,2025-05-01T00:00:00.000-06:00,true,37114.40,2023-08-17T14:18:09.624-06:00,,,,,,,,A,00GOPLxW4P3711442016,355496.00,602,31,0,C
00NMJpoUsM4376102015,00NMJpoUsMZrRJPN2I2kfa,azul,437610.00,2015,2025-09-01T00:00:00.000-06:00,true,43761.00,2023-08-17T14:18:09.624-06:00,,,,,,,,A,00NMJpoUsM4376102015,869592.00,606,25,0,C
00NMJpoUsM4376102015,00NMJpoUsMZrRJPN2I2kfa,azul,437610.00,2015,2025-09-01T00:00:00.000-06:00,true,43761.00,2023-08-17T14:18:09.624-06:00,,,,,,,,A,00NMJpoUsM4376102015,869592.00,606,25,0,C
00Niy8pE9K6882762018,00Niy8pE9KntVNxOWzNjIl,rosa,688276.00,2018,2024-09-01T00:00:00.000-06:00,true,68827.60,2023-08-17T14:18:09.624-06:00,,,,,,,,A,00Niy8pE9K6882762018,684487.00,586,57,0,C
00Niy8pE9K6882762018,00Niy8pE9KntVNxOWzNjIl,rosa,688276.00,2018,2024-09-01T00:00:00.000-06:00,true,68827.60,2023-08-17T14:18:09.624-06:00,,,,,,,,A,00Niy8pE9K6882762018,684487.00,586,57,0,C
00RaykzZO17420772017,00RaykzZO1vFk3eSSxHYHV,rosa,742077.00,2017,2023-12-01T00:00:00.000-06:00,true,74207.70,2023-08-17T14:18:09.624-06:00,,,,,,,,A,00RaykzZO17420772017,457383.00,588,55,0,C
00RaykzZO17420772017,00RaykzZO1vFk3eSSxHYHV,rosa,742077.00,2017,2023-12-01T00:00:00.000-06:00,true,74207.70,2023-08-17T14:18:09.624-06:00,,,,,,,,A,00RaykzZO17420772017,457383.00,588,55,0,C
00XK4b5Jai3411592017,00XK4b5JaiqdwwdP4VKsW8,gris,341159.00,2017,2025-09-01T00:00:00.000-06:00,true,34115.90,2023-08-17T14:18:09.624-06:00,,,,,,,,A,00XK4b5Jai3411592017,785396.00,1166,2,2,C
00XK4b5Jai3411592017,00XK4b5JaiqdwwdP4VKsW8,gris,341159.00,2017,2025-09-01T00:00:00.000-06:00,true,34115.90,2023-08-17T14:18:09.624-06:00,,,,,,,,A,00XK4b5Jai3411592017,785396.00,1166,2,2,C
00YpEQ74Cx6831032019,00YpEQ74CxEjYzC8g5IldQ,verde,683103.00,2019,2023-08-01T00:00:00.000-06:00,true,68310.30,2023-08-17T14:18:09.624-06:00,,,,,,,,A,00YpEQ74Cx6831032019,398734.00,658,4,0,C
00YpEQ74Cx6831032019,00YpEQ74CxEjYzC8g5IldQ,verde,683103.00,2019,2023-08-01T00:00:00.000-06:00,true,68310.30,2023-08-17T14:18:09.624-06:00,,,,,,,,A,00YpEQ74Cx6831032019,398734.00,658,4,0,C
00anYvxmUR6659682015,00anYvxmURsz1laNNu4YFw,blanco,665968.00,2015,2023-08-01T00:00:00.000-06:00,false,66596.80,2023-08-17T14:18:09.624-06:00,,,,,,,,A,00anYvxmUR6659682015,441529.00,584,62,0,C
00anYvxmUR6659682015,00anYvxmURsz1laNNu4YFw,blanco,665968.00,2015,2023-08-01T00:00:00.000-06:00,false,66596.80,2023-08-17T14:18:09.624-06:00,,,,,,,,A,00anYvxmUR6659682015,441529.00,584,62,0,C
00b1Itd0oG8329432019,00b1Itd0oG8Xnca7rPbRZK,cafe,832943.00,2019,2023-04-01T00:00:00.000-06:00,true,83294.30,2023-08-17T14:18:09.624-06:00,,,,,,,,A,00b1Itd0oG8329432019,612386.00,586,58,0,C
00b1Itd0oG8329432019,00b1Itd0oG8Xnca7rPbRZK,cafe,832943.00,2019,2023-04-01T00:00:00.000-06:00,true,83294.30,2023-08-17T14:18:09.624-06:00,,,,,,,,A,00b1Itd0oG8329432019,612386.00,586,58,0,C
00bEP3V5Ov8315802015,00bEP3V5Ova0ihFnLUFbK2,gris,831580.00,2015,2023-12-01T00:00:00.000-06:00,true,83158.00,2023-08-17T14:18:09.624-06:00,,,,,,,,A,00bEP3V5Ov8315802015,640173.00,624,13,0,C
00bEP3V5Ov8315802015,00bEP3V5Ova0ihFnLUFbK2,gris,831580.00,2015,2023-12-01T00:00:00.000-06:00,true,83158.00,2023-08-17T14:18:09.624-06:00,,,,,,,,A,00bEP3V5Ov8315802015,640173.00,624,13,0,C
00p85inzGe7315922022,00p85inzGeXRXgqDVn7Ftq,verde,731592.00,2022,2024-05-01T00:00:00.000-06:00,true,73159.20,2023-08-17T14:18:09.624-06:00,,,,,,,,A,00p85inzGe7315922022,414818.00,566,94,0,C
